1559568586 0 0 0
1559570961 0 0 4589
1559571599 0 0 4594
1559571650 0 0 4596
1559817688 0 0 5380
1559819193 0 0 5386
1560168617 0 0 7380
1560170786 0 3 7553
1560219055 0 3 7616
1560219078 0 3 7616
1560248590 0 3 9419
1560250885 0 3 9420
1560311801 0 3 9655
1560323789 0 3 9655
1560416513 0 3 9677
1561371594 0 3 9678
1562759256 0 3 9899
1562812925 0 3 9911
1562814197 0 3 9914
1566295479 0 3 9991
1573804819 0 3 9993
1574749142 461 3 9993
1574749916 465 3 9993
1574751377 542 3 9993
1574767237 3559 3 9993
1574817929 3569 3 9993
1574838462 3644 3 9993
1574841889 3647 3 9993
1574842123 3648 3 9993
1574875433 3648 413 9993
1574912358 5226 413 9993
1575445307 5226 420 9993
1575451526 5226 425 9993
1575452396 5226 428 9993
1575963550 5226 492 9993
1576057402 5933 492 9993
1576131467 5983 492 9993
1576146912 5993 492 9993
1576482583 5994 492 9993
1576495615 6014 492 9993
1576838661 6173 492 9993
1577175730 6471 492 9993
1577177467 6480 492 9993
1577243310 6542 492 9993
1577341956 6596 492 9993
1577344048 6599 492 9993
1577704420 6603 492 9993
1577952416 6689 492 9993
1578019788 6702 492 9993
1578035447 6879 492 9993
1578036091 6881 492 9993
1578382348 6891 492 9993
1578382403 6899 492 9993
1578450117 6959 492 9993
1578555194 7045 492 9993
1580534114 7046 492 9993
1584610602 7052 492 9993
1585208866 7065 492 9993
1585910610 7082 492 9993
1588075390 8198 492 9993
1589973180 8252 492 9993
1589973349 8266 492 9993
1591177136 10427 492 9993
1593497866 10526 492 9993
1594206925 10581 492 9993
1594819600 10627 492 9993
1594821213 10632 492 9993
1594969900 10747 492 9993
1595494621 10777 492 9993
1596105959 11039 492 9993
1596105994 13314 492 9993
1596538234 13315 492 9993
1597646322 13502 492 9993
1597654120 17832 492 9993
1597660634 18168 492 9993
1597662259 18465 492 9993
1597669491 18576 492 9993
1597670021 18577 492 9993
1597916702 22992 492 9993
1597916779 23113 492 9993
1597980000 23114 492 9993
1598166441 23128 492 9993
1598169331 23188 492 9993
1598175193 23262 492 9993
1598235763 23268 492 9993
1598241582 23269 492 9993
1598274943 23417 492 9993
1598358128 23502 492 9993
1598448591 23747 492 9993
